CD_CVM,CNPJ,DENOM_SOCIAL,SIT,DT_INI_SIT,TP_ENDER,LOGRADOURO,COMPL,BAIRRO,MUN,UF,CEP
9164,36.348.092/0001-42,A.C.A. - AUDITORIA E CONSULTORIA,ATIVO,2001-10-08,SEDE,"AV. NOSSA SENHORA DOS NAVEGANTES, ED. PALACIO DO CAFE 675",SL 102/103,ENSEADA DO SUÁ,VITÓRIA,ES,29050912
9482,05.209.294/0001-80,ACCOUNT - AUDITORES INDEPENDENTES S/S,ATIVO,2002-09-19,SEDE,"RUA SIRIRI, 496",1º AND SL 03,CENTRO,ARACAJU,SE,49010450
5517,20.763.801/0001-16,ACE AUDITORIA ASSESSORIA E CONSULTORIA EMPRESARIAL,ATIVO,1992-05-25,SEDE,"AV BARÃO HOMEM DE MELO, 4500",SALA 1011,ESTORIL,BELO HORIZONTE,MG,30494270
4561,33.694.225/0001-44,ACG AUDITORIA E PERICIA CONTABIL,ATIVO,1989-05-22,SEDE,"RUA QUINZE DE NOVEMBRO, 90","SALA 603, PARTE",CENTRO,NITERÓI,RJ,24020125
12840,01.780.693/0001-45,ACS AUDITORES E CONSULTORES S/S,ATIVO,2018-09-11,SEDE,"RUA CHAVES BARCELOS, 36","9º ANDAR, SALA 902",CENTRO,PORTO ALEGRE,RS,90030120
2445,83.794.925/0001-89,ACTUS AUDITORES INDEPENDENTES S/S LTDA,ATIVO,1985-06-28,SEDE,"R ASSUNCAO, 43",,PONTA AGUDA,BLUMENAU,SC,89050120
2445,83.794.925/0001-89,ACTUS AUDITORES INDEPENDENTES S/S LTDA,ATIVO,1985-06-28,FILIAL SC,"RUA FELIPE SCHMIDT, 172",SALA 605-B,CENTRO,BRUSQUE,SC,88350075
12661,26.165.186/0001-22,ADVANCE AUDITORES INDEPENDENTES SOCIEDADE SIMPLES PURA,ATIVO,2017-01-23,SEDE,"Rua Buenos Aires, 41",9º andar,Centro,RIO DE JANEIRO,RJ,20070021
11614,05.690.064/0001-85,ADVISER SUL AUDITORES INDEPENDENTES,ATIVO,2011-08-31,SEDE,"RUA DOUTOR JOÃO COLIN, 1285",SALA 3,AMÉRICA,JOINVILLE,SC,89204001
11614,05.690.064/0001-85,ADVISER SUL AUDITORES INDEPENDENTES,ATIVO,2011-08-31,FILIAL SP,"RUA CLÉLIA, 2145",13º ANDAR,LAPA,SÃO PAULO,SP,5042001
12866,29.402.795/0001-46,AF&H AUDITORES INDEPENDENTES,ATIVO,2018-11-27,SEDE,"RUA DOUTOR NETO DE ARAÚJO, 320",CJ. 1304,VILA MARIANA,SÃO PAULO,SP,4111001
9555,05.152.318/0001-01,AFAI AUDITORES INDEPENDENTES S/S,ATIVO,2002-12-02,SEDE,"Rua Vicente de Carvalho, 263",sala 06,Vila Seixas,RIBEIRÃO PRETO,SP,14020040
6238,74.190.505/0001-00,AFM AUDITORES INDEPENDENTES SOCIEDADE SIMPLES,ATIVO,1994-12-07,SEDE,"AV TANCREDO NEVES, 1632",TORR SUL - SL. 913,CAMINHO DAS ÁRVORES,SALVADOR,BA,41820915
11290,05.060.765/0001-30,AJCA AUDITORES INDEPENDENTES SS LTDA,ATIVO,2009-08-14,SEDE,"RUA MORRETES, 285",CJ. 21,PORTÃO,CURITIBA,PR,80610150
13501,26.742.576/0001-18,ALIANZO AUDITORIA S/S LTDA,ATIVO,2025-04-25,SEDE,"Avenida Areião, 599",,Setor Pedro Ludovico,GOIÂNIA,GO,74820370
11134,09.327.035/0001-04,ALLIANSSA AUDITORES ASSOCIADOS S/S LTDA,ATIVO,2009-01-09,SEDE,"Rua Pedro Alvares Cabral, 574",Sala 201,Centro,ERECHIM,RS,99700252
2518,52.572.500/0001-00,"ALONSO, BARRETTO  & CIA. -  AUDITORES INDEPENDENTES",ATIVO,1984-05-22,SEDE,"RUA AGOSTINHO GOMES, 2675",,IPIRANGA,SÃO PAULO,SP,4206001
9393,01.745.292/0001-54,ALPHA - AUDITORES INDEPENDENTES,ATIVO,2002-04-08,SEDE,"R VISCONDE DE NACAR, 865",CONJ. 307,CENTRO,CURITIBA,PR,80410201
12941,06.227.120/0001-02,AMG AUDITORES INDEPENDENTES,ATIVO,2019-01-30,SEDE,"AV. ASSIS CHATEAUBRIAND, 591",,FLORESTA,BELO HORIZONTE,MG,30150101
6114,00.117.918/0001-15,ANDREOLI & ASSOC AUDITORES INDEPENDENTES SOC SIMPLES,ATIVO,1994-09-08,SEDE,"Avenida Ibirapuera, 2033, 2033",8º Andar Cj 81,Indianópolis,SÃO PAULO,SP,4029901
9210,04.310.873/0001-51,ANEND AUDITORES INDEPENDENTES,ATIVO,2001-11-23,SEDE,"RUA MAYRINK VEIGA, 4",SALA 1501,CENTRO,RIO DE JANEIRO,RJ,20090050
7633,02.964.142/0001-02,ÁPICE AUDITORES INDEPENDENTES S/S,ATIVO,1999-04-08,SEDE,"AV. BERNARDINO DE CAMPOS, 327",6º AND CJ.62  P/72,PARAISO,SÃO PAULO,SP,4004050
2852,51.652.493/0001-85,APPLY AUDITORES ASSOCIADOS,ATIVO,1980-12-22,SEDE,"AVENIDA ANA COSTA, 79",8º ANDAR - S/82,GONZAGA,SANTOS,SP,11060001
11223,06.017.215/0001-00,APPROACH AUDITORES INDEPENDENTES S/S,ATIVO,2009-04-01,SEDE,"RUA DR. GURGEL, 1041",,CENTRO,PRESIDENTE PRUDENTE,SP,19015140
11223,06.017.215/0001-00,APPROACH AUDITORES INDEPENDENTES S/S,ATIVO,2009-04-01,FILIAL SÃO PAULO,"RUA CEL. SPINOLA DE CASTRO, 3635",SL. 132,VILA IMPERIAL,SÃO JOSÉ DO RIO PRETO,SP,15015500
13269,39.523.799/0001-36,APTER AUDITORES INDEPENDENTES S/S,ATIVO,2022-09-26,SEDE,"AV GISELE CONSTANTINO, 1850",SL 603 ED IGUATEMI,PARQUE BELA VISTA,VOTORANTIM,SP,18110650
13129,40.335.900/0001-04,AQUILA - AUDITORES INDEPENDENTES,ATIVO,2021-08-17,SEDE,"RUA VEREADOR BASILIO SAUTCHUK, 856","ED. EVOLUTION, 16º ANDAR - SL. 1601",ZONA 01,MARINGÁ,PR,87013190
13129,40.335.900/0001-04,AQUILA - AUDITORES INDEPENDENTES,ATIVO,2021-08-17,FILIAL CASCAVEL,"RUA RIO DE JANEIRO, 992","ANDAR SUPERIOR - ED. RIO CENTER, SL. 07",CENTRO,CASCAVEL,PR,85801030
12734,07.649.512/0001-22,AREZU AUDITORIA E CONTABILIDADE S/S,ATIVO,2017-09-26,SEDE,"RUA CORONEL BENEDITO PIRES, 44",6º ANDAR -  SL 602,CENTRO,SOROCABA,SP,18010160
10804,09.139.788/0001-96,ATAC - AUDITORES INDEPENDENTES SOC. SIMPLES,ATIVO,2007-12-04,SEDE,"RUA DR. LUIZ SUPLICY, 18",,GONZAGA,SANTOS,SP,11055330
9083,03.208.310/0001-94,ATHROS AUDITORES INDEPENDENTES,ATIVO,2001-08-21,SEDE,"AVENIDA PORTUGAL, 141","CONJ. 61, 62 E 63",CENTRO,SANTO ANDRÉ,SP,9040010
11240,06.958.674/0001-80,AUDCORP AUDITORIA E ASSESSORIA S/S,ATIVO,2009-07-10,SEDE,"AV. PRINCESA D'OESTE, 1645",BL. C/4º AND/CJ.44,JD. PARAÍSO,CAMPINAS,SP,13026137
5045,64.184.922/0001-89,AUDIBANCO - AUDITORES INDEPENDENTES SOCIEDADE SIMPLES,ATIVO,1990-12-14,SEDE,"RUA ISAURA COMICHOLE PIRES, 39",,CAPOEIRAS,FLORIANÓPOLIS,SC,88090130
5045,64.184.922/0001-89,AUDIBANCO - AUDITORES INDEPENDENTES SOCIEDADE SIMPLES,ATIVO,1990-12-14,FILIAL SP,"AV. BRIG. LUIS ANTONIO, 2050",3º ANDAR,,SÃO PAULO,SP,1318002
10359,07.341.692/0001-80,AUDIBRAS - AUDITORES E CONSULTORES S/S,ATIVO,2005-08-31,SEDE,"AV MARIANA UBALDINA DO ESPÍRITO SANTO, 623","9º ANDAR, CONJ. 91",BOM CLIMA,GUARULHOS,SP,7197000
8850,02.057.035/0001-92,AUDICONSULT AUDITORES S/S,ATIVO,2001-01-05,SEDE,"RUA ANTÔNIO SCHERER, 543",SL. 102,KOBRASOL,SÃO JOSÉ,SC,88102090
6475,13.069.281/0001-80,AUDICONT- AUDITORES E CONSULTORES,ATIVO,1996-02-14,SEDE,"R.CORONEL ALMERINDO REHEM, 126",SALAS 605 A 612,CAMINHO DAS ARVORES,SALVADOR,BA,41820768
10227,07.037.795/0001-51,AUDIFACTOR AUDITORES INDEPENDENTES S/S LTDA,ATIVO,2005-01-21,SEDE,"RUA ALMIRANTE BARROSO, 1265",SALA 04,VILA NOVA,BLUMENAU,SC,89035402
10227,07.037.795/0001-51,AUDIFACTOR AUDITORES INDEPENDENTES S/S LTDA,ATIVO,2005-01-21,FILIAL CURITIBA,"RUA SENADOR BATISTA DE OLIVEIRA, 303",CASA 02,JD DAS AMÉRICAS,CURITIBA,PR,81530150
3093,61.205.639/0001-06,AUDIFISCO AUDITORES INDEPENDENTES S/S,ATIVO,1978-11-01,SEDE,"RUA ALFERES MAGALHÃES, 92",7º AND. / CJ. 71,SANTANA,SÃO PAULO,SP,2034006
8290,38.050.282/0001-04,AUDIGER AUDITORES INDEPENDENTES S/S,ATIVO,1999-12-13,SEDE,"SRTVN, 124","Q701 CJ C ALA B, SL734/737",ASA NORTE,BRASÍLIA,DF,70719903
7056,02.163.575/0001-50,AUDILINK & CIA. AUDITORES,ATIVO,1998-03-02,SEDE,"Rua Augusta, 890","Conjuntos 604 e 605, Condomínio Belaugusta",Consolação,SÃO PAULO,SP,1304001
7056,02.163.575/0001-50,AUDILINK & CIA. AUDITORES,ATIVO,1998-03-02,ELDORADO DO SUL/RS,"RUA MARTINHO POETA, 323",,PICADA,ELDORADO DO SUL,RS,92990000
12327,11.254.307/0001-35,AUDIMEC AUDITORES INDEPENDENTES S/S - EPP,ATIVO,2015-03-25,SEDE,"AV. GOV. AGAMENON MAGALHÃES, 2615",SL. 1503,BOA VISTA,RECIFE,PE,50050290
7218,52.350.063/0001-71,AUDIOESP - AUDITORIA E CONSULTORIA S/S,ATIVO,1998-08-25,SEDE,"AV BARÃO DE ITAPURA, 2294","SALAS 13, 18 E 19",JARDIM GUANABARA,CAMPINAS,SP,13073300
3166,42.165.506/0001-09,AUDIPEC AUDITORIA E PERÍCIA CONTÁBIL S/S,ATIVO,1978-11-01,SEDE,"Avenida das Américas, 3333",Sala 1012,Barra da Tijuca,RIO DE JANEIRO,RJ,22631003
